utterance_id,text,emotion
Ses05F_script01_2_F001,She's been in New York three and a half years.  Why all of the sudden?,neutral
Ses04F_impro02_F014,Well I can't very well do it today.  I still have to leave tomorrow.,frustration
Ses04M_impro05_F039,"And I'm looking forward to that.  However, I can't do that. I would lose my job.",frustration
Ses01F_script02_2_M039,Yeah?,surprise
Ses02M_impro02_F007,It's going to be really rough.,sadness
Ses04F_script01_3_M029,Just about all.,sadness
Ses04M_impro08_F023,"I really appreciate this. I know it's not policy or whatever but, seriously",happiness
Ses01M_script01_2_M007,And how do you know why she's waited.,neutral
Ses01M_script03_1_F030,Which particular one?,happiness
Ses04M_script03_2_F037,There aren't any people upstairs.  It's a photographer's studio.,anger
Ses02F_script03_2_M042,You're not going like this.,anger
Ses02F_script03_1_F000,Do you think it's them?,fear
Ses03F_script02_2_F045,You can see right over the water.,happiness
Ses04F_impro08_M015,"and if I get sent to another operator, I'll have to tell them the same damn story again.  I don't- I think I'm just going to lose my mind.  So if you could please just not do that, that would be great.  Thank you.",anger
Ses05M_script03_2_M036,I do I shall do no such thing.,anger
Ses03F_script02_2_M038,"Actually now that you mention it, no, I don't.",happiness
Ses04M_impro05_M016,You--,anger
Ses02M_impro07_F014,No but that's an awesome school. That's so cool.,happiness
Ses03M_script03_2_M045,shut up. shut up.  I would-I would never marry you again if you came crawling back to me on your hands and knees because you're an evil-minded little vampire and I hope to God I never see you again.,anger
Ses04F_impro04_M014,"Yeah, I understand, but-",neutral
Ses03M_script01_1_F001,"What do you mean. He couldn't have seen it. I was the first one up, he was still in bed.",surprise
Ses01F_script03_1_F011,Don't laugh at me.  I'm being serious.,happiness
Ses05F_impro08_M030,"It was horrible, but you've made it much better, thank you very much. Absolutely",happiness
Ses01F_script02_2_F042,"Hmm.  I noticed that, it's pretty. Big old white moon.",happiness
Ses04M_impro08_M017,A few weeks.  You won't even know that they were there.,neutral
Ses03M_impro03_F002,Shut up. Oh my God.  Really? Just like that?  You just asked the question and what...how did you ask?,surprise
Ses01F_script01_3_F022,"Like Larry's brother.  Do it like you, Chris.",neutral
Ses03F_impro07_M017,Shit. That's-,surprise
Ses05F_script01_3_M017,"Oh Annie, we're going to live now.  I'm going to make you so happy.",excited
Ses03F_impro06_F034,"I never told him, I love you, but-",sadness
Ses01M_impro07_M033,Pull over..,happiness
Ses01M_script02_2_F007,"Everybody keeps thinking that they can just find the right spot, you know they'll get it on the action.",frustration
Ses04F_script02_1_F019,We didn't see them the first time either.,anger
Ses04F_script01_3_F012,You started to write me.,happiness
Ses03M_impro02_M008,--need me on the specialist honey.,frustration
Ses01F_script02_2_M039,Yeah?,surprise
Ses01M_impro04_F021,You have an excuse for everything.,neutral
Ses05F_script03_1_F025,Charles.  That was his name.  He did wriggle so beautifully.,excited
Ses01M_script03_1_F001,Freda is the only one who knows we are here. She wouldn't ring up.,fear
Ses05F_impro03_M006,Oh my gosh.,excited
Ses02F_script03_1_M007,With the most perfect poise?,neutral
Ses05M_impro01_F003,"Yeah.  So, I can't -- I can't do anything-",neutral
Ses05M_impro08_F021,Wow.  That would be amazing.  Really?,surprise
Ses01M_script03_1_M013,"Things that just ought to matter dreadfully, you know they just don't matter at all when one is happy, do they?",happiness
Ses05M_script01_2_M001,"Well, maybe maybe he just wanted to see her again.",neutral
Ses02M_script03_1_F016,"Well, what happens if one of us dies, does the one that's left still laugh?",fear
Ses05F_impro03_M002,Shut up.,surprise
Ses02M_impro08_M005,I know they don't tell you that kind of thing.,neutral
Ses04M_script03_1_M001,I wonder.,fear
Ses02F_impro07_F009,"and like-- The football team--And like all the-...you- what I mean, like...",excited
Ses05F_script01_2_M009,What do you want me to do? What do you want--,frustration
Ses04F_impro05_M017,"Ma'am, please calm down.  When you purchase a ticket, there is a terms and agreement,",frustration
Ses04M_script02_1_M032,"They don't know what drives them.  They don't give it a name or ask a question.  They just turn, as one, and start the swim that brings them here; to this place, where we stand, for a massive celebration of sex and death.  Oh, man, I'm giving myself goose bumps.  All my hairs are popping up.",excited
Ses03F_script02_2_M006,"Okay, then what's bugging you?",frustration
Ses01M_script02_1_M005,"Gosh, this is great, isn't it?  This is awesome.  Oh, no you know what I forgot?",excited
Ses05F_impro06_M014,Of course not.  You have no idea what it's like to lose a kid.,sadness
Ses02M_script03_1_M006,What do we do if they suddenly walk in on us?,fear
Ses03M_impro02_F005,Next week?,surprise
Ses05M_script02_2_M030,I'm trying the best I can.,sadness
Ses01M_script03_1_M003,"We're okay, right darling?  Whatever happens, we're okay?",fear
Ses05F_impro01_M012,"I am a very compassionate person, and I'm offended that you imply that I'm not.  Of course, I'm compassionate.  Look, I work in the D.M.V..  What do you think I am?  Go wait in line two A.",frustration
Ses05M_impro02_F008,What?,surprise
Ses01M_script03_2_M022,"You know, it's a pity you didn't have any more brandy. It would have made you just a little less disagreeable.",anger
Ses03F_script03_1_F003,What are we to do?,fear
Ses04M_impro06_F019,"I mean, as- as cliche as it is, as long as people who loved him remember him, then it's not a waste, you know.",sadness
Ses03M_impro07_F013,"This is so great, you know, because I gone fit on downtown so I'm going to be like right here.  I think I'm going to be living at City Lights downtown.",happiness
Ses05F_script01_1_F030,"No, I don't want a diagram, but, Chris, your father thinks Larry's coming back.",frustration
Ses02M_impro08_F020,"Oh, really?",surprise
Ses05M_script03_1_F000,Do you think it's them?,fear
Ses01F_impro03_M017,Really? Penny slots?,surprise
Ses01M_impro07_F021,"do they have a--is it a co-ed softball team?  I mean... Really? You know, I didn't even know that they have that.",excited
Ses05M_impro05_M008,forever?,surprise
Ses05F_script03_1_M006,"Oh, what shall we do if they suddenly walk in on us?",fear
Ses05F_script02_1_M024,There's There's mystery here and magic.  A little bit of the unexplainable.  I can't understand how you could not be interested.,excited
Ses04F_impro07_F058,Excellent.  Drive drunk people around because you know that's all campus cruisers for.,excited
Ses01F_script02_2_M049,Or not.,happiness
Ses01M_script03_1_F001,Freda is the only one who knows we are here. She wouldn't ring up.,fear
Ses03M_impro07_F011,Did you say yes yet?  I mean have you sent in your answer?,happiness
Ses05M_script03_1_F000,Do you think it's them?,fear
Ses04F_script01_1_F044,Yeah.  I can see that.,anger
Ses02M_script02_1_F006,I'm cold.,neutral
Ses04F_script03_2_M016,"Going somewhere, my dear?",anger
Ses01F_impro07_M003,"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.",excited
Ses05M_impro02_F023,okay.,sadness
Ses03M_impro03_M038,I'm still working at my parents' restaurant. Busing tables.,neutral
Ses03M_impro05a_M006,You don't know where we're at?,anger
Ses04F_script02_1_F016,I'm just not.,anger
Ses04M_script02_1_F014,What are you so excited about?,neutral
Ses04M_impro07_M043,Well I need to defend myself from,neutral
Ses05F_impro04_F026,I just-- I,frustration
Ses05M_impro07_M037,"So it comes Indian like. And you know I'm kind of smart, so.",excited
Ses04M_script03_1_M001,I wonder.,fear
Ses04M_impro03_F009,"Oh, my God, where -- have you guys talked about where you're going to get married or--",excited
Ses01F_script02_2_F029,[BREATHING],frustration
Ses03F_script03_1_F002,"I mean, nobody knows we're here except for Freda and she wouldn't ring up.",fear
Ses03M_script02_1_M038,"...like and they all just turned at once and formed a line as long as the California coast and started swimming this way.  They didn't, you know, they didn't make a decision, they didn't, you know, have boats or anything.  No one sent them an invitation or a map, they just started swimming as if that's the only thing that matters.",excited
Ses03M_script03_1_F006,Behave exquisitely.,excited
Ses02M_impro06_F009,"She really cared about you, you know.",sadness
Ses04F_script01_2_F012,"Nobody in this house dares take her faith away, Joe.  Strangers might but not his father, not his brother.",frustration
Ses01F_script02_1_M035,"Look there, see?  What's that?  No, that's - that's just seaweed.",excited
Ses05M_script01_1_M018,It's not just my business.,frustration
Ses04F_impro07_F062,"No, it's dorky.",excited
Ses01M_impro07_F001,[LAUGHTER]. For softball? That's unbelievable. Is it slow pitch?,excited
Ses04M_script03_1_M001,I wonder.,fear
Ses03M_script01_3_F021,Not like that you're not.,happiness
Ses03F_impro07_M029,Uh-oh.,excited
Ses04M_script01_1_M022,"Sometimes you infuriate me, you know that?  Isn't it your business, too, if I tell this to father and he throws a fit about it?  You have such a talent for ignoring things.",anger
Ses03F_impro08_M018,"No, it's been--three days.",frustration
Ses01F_script03_2_F013,Don't be stupid.,anger
Ses05M_impro01_M009,"Well, it was this girl standing right next to you.  Can we ask her why she didn't let me fill out the right form?",frustration
Ses04M_impro01_F000,Okay.  What's the problem?,neutral
Ses02M_impro03_M019,"Yes, yes. [LAUGHTER]",excited
Ses04M_script03_2_M008,"You must admit that he was in love with you, wasn't he?",anger
Ses01F_script01_3_M015,Why didn't you let me know?,happiness
Ses04M_impro02_F017,Just tell them no.,frustration
Ses03M_script02_1_M043,About what I just said?,excited
Ses05M_impro05_M021,That would be great.  Thank you very much.,frustration
Ses02M_impro08_M005,I know they don't tell you that kind of thing.,neutral
Ses01M_script01_1_F002,How could he see it?  I was the first one up and he was still in bed.,surprise
Ses01M_script01_2_F005,The girl is not Larry's.  If the girl is Larry's girl she's not his she know she's not.,anger
Ses02F_script03_1_F001,"Well, nobody know we're here except Freda and she wouldn't ring up.",fear
Ses04M_impro04_F000,Well there has to be something you haven't tried.,neutral
Ses02M_impro07_M021,"Right I know, like you, it won't hurt, I mean national champions last year, wow, you know",excited
Ses03F_script03_2_M043,"Oh, shut up. Shut up. Shut up.",anger
Ses05M_impro03_F001,What? you did?,surprise
Ses01M_impro01_M031,"Why, because I'm sick of talking to you.",anger
Ses04M_impro02_F009,You won't even know your child when you come back.  This -- isn't there someone you could talk to?,sadness
Ses02F_impro07_F004,So--,excited
Ses05F_script01_3_M008,"Anne, I love you.  I love you a great deal.  I love you!",happiness
Ses02M_impro07_F022,I know. It's so cool.,excited
Ses02M_script01_3_F001,It's all right.  It's a good thing.,happiness
Ses03M_impro03_F030,Okay.  I haven't seen you in about two and a half years and I come back and you're getting engaged to somebody you only knew for,surprise
Ses01M_script02_2_M040,Right.,neutral
Ses02M_impro04_M004,"I go out all the places I can, every place that'll give an interview you know.",frustration
Ses04M_script01_1_M037,The business?  The business doesn't inspire me.,anger
Ses03M_impro04_M005,I applied as restaurant manager at P.F. Chang.  I applied at----Macy's store manager. Tried to get investment banking job with Deloitte and Touche.  I'm trying everywhere.,frustration
Ses05M_impro02_M018,I know.  But I'll-I'll send the pictures all the time and I'll write them emails and you can read them the emails that I send them.,sadness
Ses01F_impro03_M002,Shut up.  No- in Vegas?,surprise
Ses04F_impro05_M010,What I need you to do is file another complaint form. There's a form that you can fill out over by the front desk near the baggage claim.,frustration
Ses05M_script01_1_F031,What the hell is this?,surprise
Ses01F_script02_2_F042,"Hmm.  I noticed that, it's pretty. Big old white moon.",happiness
Ses05F_script03_1_M014,Certainly you must.  We're figures of fun alright [LAUGHTER].,excited
Ses04F_script01_1_F035,Are you crazy?,anger
Ses02F_script03_1_F025,It went in intermittently for days.,happiness
Ses04F_script03_2_F031,There is no one upstairs.  It's a photographer's studio.,anger
Ses05F_script03_2_M042,"You are a vile tempered, loose living, wicked little beast, and I never want to set eyes on you again.",anger
Ses01M_script03_1_F030,Which particular one?,happiness
Ses03M_impro07_F003,No way. Are you serious? Oh my God.  Congratulations. I'm so excited.,surprise
Ses05F_impro08_M004,"This is ridiculous.  I- I seriously, I don't understand why you think these automated systems are supposed to like work for anybody.  They have never, ever work for me.",anger
Ses02M_script02_2_M017,"okay so I'm getting on my jacket and putting out the animals, getting the car out of the garage-",neutral
Ses05M_impro02_F019,"I mean, I-I know that you're a good soldier, but not everybody else is. and what if",fear
Ses05M_impro05_F010,"No, you have to buy it now.  It's like thirty dollar extra.",neutral
Ses04F_impro05_F007,Wait.  What?,surprise
Ses04M_script03_1_F001,"Nobody knows we're here, except Freda and she wouldn't ring up.",fear
Ses02F_impro04_F013,"I-I just I think maybe I should try something else.  I mean, I-I don't know.  All growing up this is the only thing that I ever wanted to do and yet I can't.  I'm not physically able apparently.  I mean--",frustration
Ses02M_impro03_M001,"Well, I finally did it",excited
Ses02M_script03_1_F027,The manager came in and found us rolling around on the floor biting and scratching like panthers.,happiness
Ses01M_script03_1_M001,I wonder.,fear
Ses02M_script03_1_F016,"Well, what happens if one of us dies, does the one that's left still laugh?",fear
Ses04M_impro03_F011,Are you going to get married like on the beach barefoot or like fancier?  Like in a church.,excited
Ses02F_impro01_F001,My--my original birth certificate?  But I don't carry that with me.,surprise
Ses02M_script03_1_M002,Must be them then.,fear
Ses05M_impro02_F016,"Oh, my God.",fear
Ses03F_script01_3_M009,"I, I guess that's why I asked you to come.",happiness
Ses04F_impro07_M038,"Movies- movie, we'll go to a movie and a dinner and- and",excited
Ses01F_impro06_M007,Yeah.,sadness
Ses04M_script01_3_M032,"There was no meaning in it here.  The whole thing to them was some sort of bus accident.  Then I went to work for dad and that whole rat race again.  I felt, what you said, ashamed somehow",sadness
Ses02M_impro06_M023,Thank you.,sadness
Ses01F_script01_1_M003,I don't know.,neutral
Ses02M_impro04_M019,this doesn't happen to a normal person.,anger
Ses02M_impro01_F020,If you had checked the website it would have said that you needed two forms of identification.,frustration
Ses01F_impro03_M007,[LAUGHTER] That's really romantic.,happiness
Ses05F_impro04_M012,"Well, what are you going to do about it to make it different?",neutral
Ses01M_script03_2_M030,"Oh very, very interesting Amanda.  How about the child of uh... four, six or maybe nine---you know, we could work up a splendid little debate about it, you know?  Intemperate tots.",anger
Ses04M_script01_3_M025,Well I lost them.,sadness
Ses02M_script03_1_M014,flippancy brings out the acid in their damned sweetness in light.,excited
Ses05F_script02_2_M036,I don't know.  Seems like a pretty good spot to me I mean look at the view of the moon you got from here.,happiness
Ses02F_impro05_F005,"Fifty dollars?  For my suitcase?  I mean, the suitcase itself was like a hundred and fifty dollar just for the suitcase, but all the things inside, all my clothes, all my personal belongings, the sentimental value, not to mention, which is more-more than all of that together.",surprise
Ses05M_impro02_F003,You didn't- Did you tell them you have two young children at home?,fear
Ses04F_script01_2_M009,How do you know why she waited?,frustration
Ses01F_impro02_F015,Last month--  Yeah.,sadness
Ses02F_script02_2_F045,Or not.,happiness
Ses05F_impro04_M043,You know I'll always help you.,neutral
Ses05F_impro02_F010,"I know.  Well, we'll have to figure all that out.  I mean, I think the Army's going to provide childcare and help us out with that. um.",sadness
Ses05M_script03_1_F000,Do you think it's them?,fear
Ses02M_script01_2_M001,"Well, maybe he just wanted to see her again.",neutral
Ses05F_impro03_F042,I know. I can't believe it.,excited
Ses01F_script03_1_M001,I wonder.,fear
Ses02M_impro07_M011,"it was good, yeah. I mean-",happiness
Ses01M_impro07_M021,Oh you mean it's not really sport that what you're saying?,surprise
Ses03F_script02_2_M044,If we're very quiet the fish might come.,happiness
Ses05F_impro03_F003,Yeah.,excited
Ses01F_script03_2_F001,Oh.  You knew there was nothing in that.,happiness
Ses03F_script03_1_F003,What are we to do?,fear
Ses04F_script03_1_M002,It must be them then.,fear
Ses05F_impro08_F018,"Well you know sometimes-- just with online transactions, things happens. so um-",neutral
Ses05F_impro01_F019,"Except they're going tell, are you going to tell me the right line to stand in this time at least?",frustration
Ses01F_script03_1_M010,"It's strange; things that ought to matter dreadfully, they just don't matter at all when one's happy.  Do they?",happiness
Ses02M_script02_2_F025,No.,frustration
Ses01M_script03_1_M019,Flippancy brings out the acid in their darn sweetness and light.,happiness
Ses05F_impro07_F006,Uh- I don't know.,happiness
Ses04M_script01_2_F015,She goes to sleep in his bed and his memorial breaks in pieces.  Look.  Look at it.  Joe--,anger
Ses05M_script03_2_M029,"Oh, really?  How about a child of three, or child of six, what about a child of nine?",anger
Ses03M_impro02_M026,maybe get some vacation-- --once it quiets down there.,sadness
Ses04M_script01_3_M032,"There was no meaning in it here.  The whole thing to them was some sort of bus accident.  Then I went to work for dad and that whole rat race again.  I felt, what you said, ashamed somehow",sadness
Ses04M_impro06_M008,"[BREATHING] I mean, there's nothing really to talk about.  He's gone and I'll never see him again.",sadness
Ses02F_impro02_F013,I have no choice. There's nothing I can do.,sadness
Ses05M_impro03_M004,"She--,well, she said yes, first of all, let me say that right off the bat. Well, I would like to assume, too.  But you never know these things, right?",happiness
Ses02M_impro08_F027,"Yeah, totally.",neutral
Ses01M_script03_1_F031,"Oh, Charles.  That was his name Charles. He did wriggle so beautifully.",excited
Ses01M_impro07_M021,Oh you mean it's not really sport that what you're saying?,surprise
Ses01F_script01_3_F004,"For one thing, your mother much as told me to go.",neutral
Ses04M_script01_3_M026,Just about all.,sadness
Ses01M_script03_2_F037,Stop it. No. Go away.,anger
Ses02F_impro08_F009,All I'm going to need is your credit card number but just give me one moment. So-,neutral
Ses03M_impro07_F008,Yeah.  Hopefully it won't be like high school.,happiness
Ses01F_script03_1_M001,I wonder.,fear
Ses05F_script02_1_M004,"The flashlight, the silver one, there's only one, isn't there?",frustration
Ses04M_script03_1_F001,"Nobody knows we're here, except Freda and she wouldn't ring up.",fear
Ses01F_script03_1_M002,It must be them then.,fear
Ses01M_impro03_M023,I'm going to marry a blue blood. [LAUGHTER],excited
Ses03M_impro03_F030,Okay.  I haven't seen you in about two and a half years and I come back and you're getting engaged to somebody you only knew for,surprise
Ses05F_script02_2_M037,"Well, look what we have got here.",happiness
Ses01M_impro07_M003,"Yeah.  Well, I don't--well yeah I can pitch, I'm not like the pitcher though. I'm like the pinch hitter guy I mostly just hit.  But I guess I'm going to have to... Yeah, and then I play shortstop too but... It's so ex- The good news is I get to stay here.",excited
Ses02F_impro08_M011,"Well, it's gonna be four of them.",neutral
Ses01F_script02_2_F026,No.,neutral
Ses04F_script02_1_F021,About what?,anger
Ses03M_impro01_M001,It's not a demand it's a request.  Will you just take it?  Come on.,frustration
Ses03F_script03_1_F003,What are we to do?,fear
Ses03F_script01_2_F004,It's got that about it.,anger
Ses03M_impro06_M012,his girlfriend got killed too.,sadness
Ses05M_impro07_F016,Oh yeah.,neutral
Ses02F_script03_1_F002,What're we gonna do?,fear
Ses03M_impro05b_F014,Sir I understand that but just--,neutral
Ses01M_script03_2_M031,That's a very good idea I think I will.,anger
Ses03M_impro06_M026,"I mean he was...he wanted to help people in poor countries, that is his goal.  He didn't care about the money.  He just wanted to go and help people.",sadness
Ses01M_impro07_F008,You should...You should look into that.,excited
Ses02F_script02_2_M039,Yeah?,surprise
Ses05F_script03_1_M006,"Oh, what shall we do if they suddenly walk in on us?",fear
Ses03F_script01_1_M052,I am thinking like that.,neutral
Ses05F_script02_2_F027,But this isn't anything like I thought it would be.,sadness
Ses02M_script02_1_M022,Why not?,surprise
Ses05M_script01_1b_F030,What the hell is this?,surprise
Ses03F_script01_3_F035,What am I going to do with a fortune?,happiness
Ses04M_impro02_F013,Well unagree.  Tell them that you can't leave right now.  I can't do this by myself.  I can't do this without you.,frustration
Ses05M_script03_1_F000,Do you think it's them?,fear
Ses04F_script01_2_M007,"Uh, Then why is she still-she's not his girl, Joe",neutral
Ses02F_script03_1_F000,Do you think it's them?,fear
Ses03F_script03_1_F003,What are we to do?,fear
Ses01F_impro05_M011,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",neutral
Ses02M_script01_1_F015,I got an idea but what's the story?,neutral
Ses04F_script03_1_F017,What happens if one of us dies?  Does the one that's left still laugh?,neutral
Ses03F_impro07_F034,"[LAUGHTER]. No, you'd get used to it.",happiness
Ses04M_script03_1_M001,I wonder.,fear
Ses04M_script03_1_F001,"Nobody knows we're here, except Freda and she wouldn't ring up.",fear
Ses02M_impro03_M020,"I know it was, I don't know I was really nervous but I'm really - I'm really glad.",excited
Ses05F_impro01_F008,"So could I maybe get the form from you, fill it out here- and maybe you could-",neutral
Ses01M_script01_2_M010,Kate...,frustration
Ses04F_script01_1_M034,"I've given it three years of thought.  I hoped that if I waited, dad would forget about Larry",anger
Ses01M_impro05_M018,Where is it?  Where did it go?,frustration
Ses02F_impro04_M011,... and there's no reason that--that something won't come up like really soon.  All right?  So you just gotta--,neutral
Ses03M_script01_3_F011,"Well,",happiness
Ses03F_script02_2_M037,Yeah?,surprise
Ses01F_script03_1_F000,Is it them?,fear
Ses05M_script01_3_M002,Why?,surprise
Ses02M_script03_1_F016,"Well, what happens if one of us dies, does the one that's left still laugh?",fear
Ses01M_script03_2_M039,That's very amusing indeed.,anger
Ses02M_script03_1_M002,Must be them then.,fear
Ses03F_script03_2_F039,"Stop it, stop it, I hate you, I loath you, you are overbearing and conceited and utterly impossible.",anger
Ses02M_impro06_F001,"Oh my God. Oh my God, I'm so sorry.",surprise
Ses02M_impro03_F011,"Oh, You did not.",excited
Ses05F_impro03_M002,Shut up.,surprise
Ses04M_script03_1_F001,"Nobody knows we're here, except Freda and she wouldn't ring up.",fear
Ses04F_script02_2_M019,Wait a minute.  I've got it.,neutral
Ses04M_impro03_M028,"Well, I mean I just told her--Well I just said, you know, hey, these are my suggestions.",happiness
Ses05F_impro05_M050,"And while I really would love to be able to hand you your bag right now, obviously I can't do that.",neutral
Ses05M_script02_2_M006,What's bugging you then?,frustration
Ses05M_impro05_M004,"I was coming from um the Midwest, like Iowa.",neutral
Ses02M_script01_3_M013,Why didn't you?,surprise
Ses01F_script02_2_M044,And look what I got here.,happiness
Ses03F_script01_3_M017,Why didn't you?,surprise
Ses02F_script03_1_F001,"Well, nobody know we're here except Freda and she wouldn't ring up.",fear
Ses01M_impro06_M001,"Just kind of feel numb, you know.",sadness
Ses02F_script02_2_M041,"I don't know.  It seemed like a pretty good spot to me.  I mean, look at the view you have of the moon from here.",happiness
Ses05F_impro02_F021,I don't think there's anything we can do.,sadness
Ses03M_impro03_M015,"I couldn't, I couldn't afford the Red Lobster. [LAUGHTER] What anyway?",happiness
Ses04M_script03_1_F002,What are we to do?,fear
Ses03F_script01_1_M028,I didn't ask Annie yet.,neutral
Ses02M_impro05_M004,"For some reason, so you think it won't show up?",surprise
Ses03M_script02_2_M004,Are we talking about the same thing?,frustration
Ses03M_impro03_F021,"Okay, that is really cheesy Joe.",happiness
Ses05F_script03_2_M040,Amanda-- Listen- Listen-,anger
Ses05F_script01_1_F000,What's he going to say? Maybe we should tell him before he sees it.,sadness
Ses01M_script03_1_F017,"Mmhmm If I must laugh at everything, I must laugh at us too.",happiness
Ses01F_script03_1_M001,I wonder.,fear
Ses01F_script03_1_F001,Freda is the only one who knows we are here.  She wouldn't ring up.,fear
Ses03M_impro02_M031,What do you mean?,sadness
Ses02F_impro01_M002,Right.  Well.  We still need it.,neutral
Ses01M_script03_1_M000,Good God.,fear
Ses02M_impro08_F018,So is there any- I mean what if they spend something again?,fear
Ses02M_script02_1_M030,For real?,surprise
Ses02F_script03_2_F016,"A woman's job is to allure the man.  Watch me a minute, will you?",excited
Ses01F_impro07_F004,"I don't know.  I spend so much time commuting as it is, I'd rather.",excited
Ses02M_impro04_M002,"I have got to get a job, you know? Like-",frustration
Ses03M_impro07_F019,Mmmm some miso soup.,happiness
Ses03M_impro03_F029,What?,surprise
Ses04F_script02_2_M042,Yeah?,surprise
Ses03F_script01_3_F001,"No, it's all right. There's nothing wrong in that, you know.",happiness
Ses01F_impro03_M002,Shut up.  No- in Vegas?,surprise
Ses01F_impro02_M014,I can't raise a baby by myself.  How?,sadness
Ses02M_impro08_F018,So is there any- I mean what if they spend something again?,fear
Ses01M_script01_3_F024,How many?,sadness
Ses04M_script01_1_F008,What?,surprise
Ses04M_script03_1_F002,What are we to do?,fear
Ses03M_impro05b_M029,Can you get it to the San Diego airport?  You get someone to drive it to my place alright? Then I get a refund for some...I get a free flight alright? I get free whatever.,anger
Ses02M_script01_1_M004,No. I figured it was best to leave him alone.,sadness
Ses02F_impro05_M017,but Unfortunately sometimes is--,neutral
Ses02F_script03_1_M016,Who knows.,neutral
Ses03M_impro04_F005,"Well, that's what?  For what job?  Who...what jobs are you looking for?",surprise
Ses05M_script03_2_F002,Not at all.  I quite like it.  I wear it often.,neutral
Ses01M_script03_2_M017,Nothing.,frustration
Ses04F_script01_1_F011,"What do you want to do, argue with him?",anger
Ses04F_script01_3_M010,I have no imagination that's all I know to tell you.,happiness
Ses04F_script02_1_M006,Whose is it?,surprise
Ses03M_impro06_M002,Yeah.,sadness
Ses01M_impro06_F018,It leaves a hole for you too.,neutral
Ses03F_impro07_F023,"Oh man, I'm so excited. So much to do.",happiness
Ses04M_script03_1_M001,I wonder.,fear
Ses04M_impro05_M031,"Look, I don't -- look, can we just not argue about this.  Like--",frustration
Ses02M_impro01_M008,three hours and,anger
Ses04F_script01_3_F013,Every day since.,happiness
Ses01M_script03_1_F039,oh...[LAUGHTER],happiness
Ses05M_impro02_F002,"What?  No, you can't!",fear
Ses01F_script01_1_F042,Just don't think like that.,anger
Ses03F_script01_2_M010,Calm yourself.,frustration
Ses01F_impro07_F004,"I don't know.  I spend so much time commuting as it is, I'd rather.",excited
Ses03M_impro03_F028,What?,surprise
Ses01M_script03_2_F035,Very well if you insist on being boorish and idiotic.,anger
Ses01F_impro05_M033,Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,surprise
Ses05M_script03_1_F000,Do you think it's them?,fear
Ses05F_impro04_F017,I don't know. Maybe I can take out a loan. I just- I need prospects and I don't feel like I have any.,sadness
Ses05M_script02_1_M001,"What's that? Is that- Wait, is that foam?  I can't even tell.  Oh Actually, I guess if I can't tell then it probably isn't it, is it?  It will probably be unmistakable, don't you think?",excited
Ses05M_impro08_M010,"Yeah. That can be- That can create a bad connection.  And it won't always be a bad connection, but it will be bad off and on.",neutral
Ses02F_impro07_F014,"Yeah, I mean there's all the money stuff and my mom's helping me with the financial aid and stuff.  But, it'll be fine--",excited
Ses02M_impro08_F020,"Oh, really?",surprise
Ses03F_script03_1_F002,"I mean, nobody knows we're here except for Freda and she wouldn't ring up.",fear
Ses05M_script03_1_M002,Must be them then?,fear
Ses02M_impro08_F030,Thank you very much bye.,happiness
Ses04F_impro03_F050,You could make her that excited.  You really like her.  You guys have been together for a really long time now.,excited
Ses02F_impro03_M014,That's great.  Yeah.,neutral
Ses04F_script01_3_M033,They didn't die.  They killed themselves for each other.  I mean that exactly.  A little more selfish and they'd have been here today.,sadness
Ses02F_script03_1_F007,"Oh, of course.  I shall probably do a court curtsy.",happiness
Ses01F_script01_3_M017,Give me a kiss.,happiness
Ses05M_impro06_M011,"And now I don't have that person anymore, you know.  And it's -- -- it's just, you.",sadness
Ses02F_script02_2_M023,Take off our shoes?,neutral
Ses04F_impro03_F042,Just couldn't be any cooler.,excited
Ses05F_impro07_M012,it is going to be so much fun. Yes.,excited
Ses01F_script03_1_F006,We'll behave exquisitely.,excited
Ses01F_script03_1_M018,Who knows?,happiness
Ses04F_impro03_F006,You think. [LAUGHTER],excited
Ses04F_impro03_F006,You think. [LAUGHTER],excited
Ses05F_impro07_F030,[LAUGHTER] by yourself.,excited
Ses04M_script03_2_M027,It's a pity you didn't have any more brandy.  It might have made you a little less disagreeable.,anger
Ses01F_script01_3_F000,You're the only one who still loves his parents.,neutral
Ses05M_impro08_M026,"Great.  Well, that makes me very happy.  That makes us all happy here at D.S.L. Extreme.  Is there anything else I can help you with?",happiness
Ses02F_script03_1_F000,Do you think it's them?,fear
Ses04M_impro08_F027,I'll,neutral
Ses02M_script01_3_F013,Every day since.,happiness
Ses04M_script03_1_M001,I wonder.,fear
Ses01F_script01_1_F024,I just don't see why.  Have you asked Annie yet?,frustration
Ses05F_script01_3_M008,"Anne, I love you.  I love you a great deal.  I love you!",happiness
Ses03M_script02_2_F026,No.,frustration
Ses04F_script03_1_M001,I wonder.,fear
Ses01F_impro07_M006,A rapper party ho. Yeah. Okay.,excited
Ses03M_impro04_M041,"Like, wow you're really smart we're going to give you an extra [GARBAGE].",happiness
Ses05M_script01_1b_F030,What the hell is this?,surprise
Ses02F_impro03_M002,No.  Let me see.,surprise
